Age,Gender,Education Level,Occupation,Monthly Income,BNPLU 1,BNPLU 2,BNPLU 3,BNPLU 4,BNPLU 5,BNPLU 6,TRUST 1,TRUST 2,TRUST 3,TRUST 4,TRUST 5,TRUST 6,CONV. 1,CONV. 2,CONV. 3,CONV. 4,CONV. 5,CONV. 6,CONV. 7,CONV. 8,CONV. 9,MATERIALISM 1,MATERIALISM 2,MATERIALISM 3,MATERIALISM 4,MATERIALISM 5,MATERIALISM 6,MATERIALISM 7,MATERIALISM 8,MATERIALISM 9,FIN. LIT 1,FIN. LIT 2,FIN. LIT 3,IMPULSE 1,IMPULSE 2,IMPULSE 3,IMPULSE 4,IMPULSE 5,IMPULSE 6
22,Male,Postgraduate,Salaried Employee,Nil,4,4,4,4,5,3,2,3,3,2,2,3,1,1,2,1,1,1,2,1,1,3,4,4,2,5,3,4,3,4,3,4,2,4,3,3,3,3,3
23,Male,Professional Degree,Student,25000,4,3,2,3,2,3,3,3,4,2,2,2,1,3,2,3,3,4,4,3,3,5,4,5,1,5,5,4,5,5,5,5,4,4,2,4,2,5,2
25,Male,Postgraduate,Student,Nil,4,4,3,2,4,4,2,2,2,3,2,2,1,1,1,1,1,1,2,2,2,3,2,2,3,3,4,1,3,2,5,4,3,2,3,1,1,5,1
24,Male,Postgraduate,Salaried Employee,Nil,5,5,5,5,5,5,5,4,4,5,5,4,5,5,5,5,5,5,5,4,5,4,4,3,2,4,4,4,4,4,3,3,3,5,5,5,5,1,5
26,Female,Undergraduate,Student,Nil,2,2,2,3,1,3,2,2,2,2,3,2,5,5,5,5,5,5,5,5,5,2,4,3,4,3,4,2,3,2,5,5,5,3,2,2,4,3,3
25,Female,Undergraduate,Student,10000,3,2,2,3,3,2,4,4,5,4,5,4,4,4,4,4,5,5,5,4,4,3,3,4,2,4,2,4,3,4,4,4,4,5,4,3,4,2,4
21,Female,Postgraduate,Student,40000,3,4,3,4,4,2,4,3,4,4,4,3,3,4,3,4,3,4,3,4,3,2,2,3,4,2,2,2,2,2,1,3,1,2,4,1,2,4,3
29,Male,Undergraduate,Salaried Employee,15000,3,4,4,4,3,4,5,5,4,5,5,5,4,5,5,4,4,4,5,4,5,5,5,4,2,5,4,3,4,3,4,3,4,4,4,4,4,2,4
27,Female,Undergraduate,Student,Nil,5,5,5,5,5,5,4,5,4,4,3,4,4,4,3,4,4,4,4,5,4,5,5,5,1,5,5,5,5,5,4,4,5,5,5,5,4,2,4
22,Female,Professional Degree,Student,Nil,5,5,5,5,4,5,5,4,5,5,5,4,4,4,2,4,1,3,4,4,4,2,4,2,3,3,2,4,2,3,5,5,5,4,3,3,2,2,2
20,Male,Undergraduate,Student,Nil,5,5,5,5,5,5,4,4,4,5,4,4,4,4,4,2,5,4,4,4,4,5,5,5,1,5,5,5,5,5,2,3,3,5,5,5,5,1,5
22,Female,Undergraduate,Student,10000,3,1,2,4,3,2,4,3,4,5,4,3,3,3,3,3,3,4,4,3,3,3,4,3,2,4,2,4,4,3,3,4,4,3,2,4,4,2,2
25,Female,Undergraduate,Self-Employed,Nil,4,4,4,4,4,4,5,5,5,5,5,5,4,5,5,4,5,4,5,4,4,5,4,4,2,4,5,5,5,4,1,2,1,5,5,5,5,1,5
27,Male,Postgraduate,Student,Nil,4,3,4,3,3,4,4,2,2,3,4,2,1,1,3,3,1,2,1,3,1,2,3,3,3,3,1,1,2,4,5,3,3,3,3,2,2,4,3
25,Female,Undergraduate,Salaried Employee,Nil,5,4,4,5,5,5,3,3,4,3,3,3,3,4,4,4,4,3,4,3,4,3,4,3,2,3,4,3,4,3,4,5,4,4,4,2,3,2,4
22,Male,Postgraduate,Salaried Employee,10000,5,4,5,4,4,4,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,4,4,4,2,3,5,3,4,5,3,1,2,5,5,4,5,1,5
20,Male,Undergraduate,Student,25000,3,3,2,4,3,2,3,4,4,4,4,4,4,4,4,5,4,4,3,4,4,2,2,3,3,2,2,4,2,2,4,3,4,4,3,2,2,2,2
23,Male,Undergraduate,Salaried Employee,Nil,4,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,2,3,4,5,3,4,3,3,3,5,5,5,5,2,5
22,Male,Undergraduate,Self-Employed,25000,2,2,2,2,1,1,3,2,2,2,2,3,4,3,4,2,4,4,3,1,2,4,4,4,2,5,4,5,5,4,3,4,4,3,1,2,1,5,2
20,Female,Undergraduate,Salaried Employee,20000,3,3,3,4,2,2,1,1,1,2,1,1,2,2,3,2,3,1,2,3,3,2,1,1,4,1,2,2,3,1,4,4,4,3,3,4,4,4,4
